a	(-AH0_)
gladiators	(G L-AE1_)(D-IY0_)(-EY2_)(T-ER0_Z)
gladieux	(G L-AE1_)(D-IY0_)(-OW0_)
gladiolus	(G L-AE2_)(D-IY0_)(-OW1_)(L-AH0_S)
gladis	(G L-AE1_)(D-IH0_S)
gladish	(G L-AE1_)(D-IH0_SH)
gladje	(G L-AE1_D)(JH-IY2_)
gladly	(G L-AE1_D)(L-IY0_)
gladman	(G L-AE1_D)(M-AH0_N)
gladney	(G L-AE1_D)(N-IY0_)
gladson	(G L-AE1_D)(S-AH0_N)
gladstein	(G L-AE1_D)(S T-AY2_N)
gladstone	(G L-AE1_D)(S T-OW2_N)
gladstones	(G L-AE1_D)(S T-OW2_N Z)
gladu	(G L-EY1_)(D-UW0_)
gladwell	(G L-AE1_)(D W-EH2_L)
gladwin	(G L-AE1_)(D W-IH0_N)
gladys	(G L-AE1_)(D-IH0_S)
glaeser	(G L-EY1_)(Z-ER0_)
glahn	(G L-AE1_N)
glamor	(G L-AE1_)(M-ER0_)
glamorize	(G L-AE1_)(M-ER0_)(-AY2_Z)
glamorized	(G L-AE1_)(M-ER0_)(-AY0_Z D)
glamorizing	(G L-AE1_)(M-ER0_)(-AY0_)(Z-IH0_NG)
glamorous	(G L-AE1_)(M-ER0_)(-AH0_S)
glamour	(G L-AE1_)(M-ER0_)
glance	(G L-AE1_N S)
glanced	(G L-AE1_N S T)
glances	(G L-AE1_N)(S-IH0_Z)
glancing	(G L-AE1_N)(S-IH0_NG)
glancy	(G L-AE1_N)(S-IY0_)
gland	(G L-AE1_N D)
glander	(G L-AE1_N)(D-ER0_)
glandon	(G L-AE1_N)(D-AH0_N)
glands	(G L-AE1_N D Z)
glandular	(G L-AE1_N)(JH-AH0_)(L-ER0_)
glanton	(G L-AE1_N)(T-AH0_N)
glantz	(G L-AE1_N T S)
glanville	(G L-AE1_N)(V-IH2_L)
glanz	(G L-AE1_N Z)
glanzer	(G L-AE1_N)(Z-ER0_)
glanzman	(G L-AE1_NZ)(M-AH0_N)
glare	(G L-EH1_R)
glared	(G L-EH1_R D)
glares	(G L-EH1_R Z)
glaring	(G L-EH1_)(R-IH0_NG)
glaris	(G L-EH1_)(R-IH0_S)
glas	(G L-AE1_S)
glasby	(G L-AE1_S)(B-IY0_)
glasco	(G L-AA1_)(S K-OW0_)
glascock	(G L-AE1_)(S K-AH0_K)
glascoe	(G L-AE1_)(S K-OW0_)
glaser	(G L-EY1_)(Z-ER0_)
glasgow	(G L-AE1_)(S K-OW2_)
glasheen	(G L-AH0_)(SH-IY1_N)
glashow	(G L-AE1_)(SH-AW0_)
glasner	(G L-AE1_)(S N-ER0_)
glasnost	(G L-AE1_)(S N-AA0_S T)
glasow	(G L-EY1_)(Z-OW0_)
glasper	(G L-AE1_)(S P-ER0_)
glaspie	(G L-AE1_)(S P-IY0_)
glaspy	(G L-AE1_)(S P-IY0_)
glass	(G L-AE1_S)
glassberg	(G L-AE1_S)(B-ER0_G)
glassblower	(G L-AE1_S)(B L-OW2_)(-ER0_)
glassblowers	(G L-AE1_S)(B L-OW2_)(-ER0_Z)
glassblowing	(G L-AE1_S)(B L-OW2_)(-IH0_NG)
glassburn	(G L-AE1_S)(B-ER2_N)
glassco	(G L-AE1_)(S K-OW0_)
glasscock	(G L-AE1_)(S K-AA2_K)
glassed	(G L-AE1_S T)
glasser	(G L-AE1_)(S-ER0_)
glasses	(G L-AE1_)(S-AH0_Z)
glassey	(G L-AE1_)(S-IY0_)
glassford	(G L-AE1_)(S F-AO0_R D)
glasslike	(G L-AE1_)(S L-AY2_K)
glassmaker	(G L-AE1_)(S M-EY2_)(K-ER0_)
glassmaking	(G L-AE1_)(S M-EY2_)(K-IH0_NG)
glassman	(G L-AE1_)(S M-AE2_N)
glassmeyer	(G L-AE1_)(S M-AY0_)(-ER0_)
glassner	(G L-AE1_)(S N-ER0_)
glasson	(G L-AE1_)(S-AH0_N)
glassware	(G L-AE1_)(S W-EH2_R)
glassy	(G L-AE1_)(S-IY0_)
glastetter	(G L-AE1_)(S T-IH0_)(T-ER0_)
glatfelter	(G L-AE1_T)(F-IH0_L)(T-ER0_)
glatt	(G L-AE1_T)
glatz	(G L-AE1_T S)
glatzer	(G L-EY1_T)(Z-ER0_)
glaub	(G L-AO1_B)
glauber	(G L-AW1_)(B-ER0_)
glaucoma	(G L-AO0_)(K-OW1_)(M-AH0_)
glaude	(G L-AO1_D)
glaus	(G L-AO1_Z)
glauser	(G L-AW1_)(S-ER0_)
glavan	(G L-EY1_)(V-AH0_N)
glavin	(G L-AE1_)(V-IH0_N)
glavine	(G L-AE0_)(V-IH1_N)
glawe	(G L-AO1_)
glaxo	(G L-AE1_K)(S-OW0_)
glaza	(G L-AA1_)(Z-AH0_)
glaze	(G L-EY1_Z)
glazebrook	(G L-EY1_Z)(B R-UH2_K)
glazed	(G L-EY1_Z D)
glazener	(G L-AE1_)(Z-IY0_)(N-ER0_)
glazer	(G L-EY1_)(Z-ER0_)
glazes	(G L-EY1_)(Z-AH0_Z)
glazier	(G L-EY1_)(Z-IY0_)(-ER0_)
glazing	(G L-EY1_)(Z-IH0_NG)
glazner	(G L-AE1_Z)(N-ER0_)
glazunov	(G L-AE1_)(Z-UW0_)(N-AA0_V)
gleacher	(G L-IY1_)(CH-ER0_)
gleam	(G L-IY1_M)
gleamed	(G L-IY1_M D)
gleaming	(G L-IY1_)(M-IH0_NG)
gleams	(G L-IY1_M Z)
glean	(G L-IY1_N)
gleaned	(G L-IY1_N D)
gleason	(G L-IY1_)(S-AH0_N)
gleaton	(G L-IY1_)(T-AH0_N)
gleave	(G L-IY1_V)
gleaves	(G L-IY1_V Z)
gleba	(G L-IY1_)(B-AH0_)
gleckler	(G L-EH1_)(K L-ER0_)
gleda	(G L-EY1_)(D-AH0_)
gledhill	(G L-EH1_D)(HH-IH2_L)
glee	(G L-IY1_)
gleeful	(G L-IY1_)(F-AH0_L)
gleefully	(G L-IY1_)(F-AH0_)(L-IY0_)
gleeson	(G L-IY1_)(Z-AH0_N)
gleghorn	(G L-EH1_G)(HH-ER0_N)
gleich	(G L-AY1_K)
gleichauf	(G L-AY1_)(K-AO0_F)
gleim	(G L-IY1_M)
gleisner	(G L-AY1_)(S N-ER0_)
glemp	(G L-EH1_M P)
glen	(G L-EH1_N)
glenayre	(G L-EH2_)(N-EH1_R)
glenbrook	(G L-EH1_N)(B R-UH2_K)
glenda	(G L-EH1_N)(D-AH0_)
glendale	(G L-EH1_N)(D-EY2_L)
glendening	(G L-EH1_N)(D-AH0_)(N-IH0_NG)
glendenning	(G L-EH1_N)(D-IH0_)(N-IH0_NG)
glendinning	(G L-EH1_N)(D-IH0_)(N-IH0_NG)
glendon	(G L-EH1_N)(D-OW0_N)
glenfed	(G L-EH1_N)(F-EH2_D)
glengarry	(G L-EH2_N)(G-EH1_)(R-IY0_)
glenham	(G L-EH1_N)(HH-AH0_M)
glenmore	(G L-EH1_N)(M-AO2_R)
glenn	(G L-EH1_N)
glenna	(G L-EH1_)(N-AH0_)
glennie	(G L-EH1_)(N-IY0_)
glennon	(G L-EH1_)(N-AH0_N)
glenny	(G L-EH1_)(N-IY0_)
glens	(G L-EH1_N Z)
glenview	(G L-EH1_N)(V Y-UW2_)
glenville	(G L-EH1_N)(V-IH0_L)
glenwood	(G L-EH1_N)(W-UH2_D)
gless	(G L-EH1_S)
glessner	(G L-EH1_)(S N-ER0_)
glew	(G L-UW1_)
glib	(G L-IH1_B)
glibly	(G L-IH1_)(B L-IY0_)
glick	(G L-IH1_K)
glickenhaus	(G L-IH1_)(K-AH0_N)(HH-AW2_S)
glickman	(G L-IH1_K)(M-AH0_N)
glicksman	(G L-IH1_K)(S M-AH0_N)
glickstein	(G L-IH1_K)(S T-IY2_N)
glidden	(G L-IH1_)(D-AH0_N)
glide	(G L-AY1_D)
glided	(G L-AY1_)(D-IH0_D)
glider	(G L-AY1_)(D-ER0_)
gliders	(G L-AY1_)(D-ER0_Z)
glides	(G L-AY1_D Z)
glidewell	(G L-AY1_)(D W-EH2_L)
gliding	(G L-AY1_)(D-IH0_NG)
glimcher	(G L-IH1_M)(CH-ER0_)
glimmer	(G L-IH1_)(M-ER0_)
glimmering	(G L-IH1_)(M-ER0_)(-IH0_NG)
glimmers	(G L-IH1_)(M-ER0_Z)
glimpse	(G L-IH1_M P S)
glimpsed	(G L-IH1_M P S T)
glimpses	(G L-IH1_MP)(S-IH0_Z)
glines	(G L-AY1_N Z)
glinka	(G L-IH1_NG)(K-AH0_)
glinski	(G L-IH1_N)(S K-IY0_)
glint	(G L-IH1_N T)
glinting	(G L-IH1_N)(T-IH0_NG)
glissandi	(G L-AH0_)(S-AA1_N)(D-IY0_)
glisson	(G L-IH1_)(S-AH0_N)
glisten	(G L-IH1_)(S-AH0_N)
glistened	(G L-IH1_)(S-AH0_N D)
glistening	(G L-IH1_)(S-AH0_)(N-IH0_NG)
glitch	(G L-IH1_CH)
glitches	(G L-IH1_)(CH-IH0_Z)
glitter	(G L-IH1_)(T-ER0_)
glittered	(G L-IH1_)(T-ER0_D)
glittering	(G L-IH1_)(T-ER0_)(-IH0_NG)
glitters	(G L-IH1_)(T-ER0_Z)
glittery	(G L-IH1_)(T-ER0_)(-IY0_)
glitz	(G L-IH1_T S)
glitzy	(G L-IH1_T)(S-IY0_)
glo	(G L-OW1_)
gloam	(G L-OW1_M)
gloaming	(G L-OW1_)(M-IH0_NG)
gloat	(G L-OW1_T)
gloated	(G L-OW1_)(T-IH0_D)
gloating	(G L-OW1_)(T-IH0_NG)
gloats	(G L-OW1_T S)
glob	(G L-AA1_B)
global	(G L-OW1_)(B-AH0_L)
globalization	(G L-OW2_)(B-AH0_)(L-IH0_)(Z-EY1_)(SH-AH0_N)
globalize	(G L-OW1_)(B-AH0_)(L-AY2_Z)
globalized	(G L-OW1_)(B-AH0_)(L-AY2_Z D)
globally	(G L-OW1_)(B-AH0_)(L-IY0_)
globalstar	(G L-OW1_)(B-AH0_L)(S T-AA2_R)
globcom	(G L-AA1_B)(K-AA0_M)
globe	(G L-OW1_B)
globes	(G L-OW1_B Z)
globetrotter	(G L-OW1_B)(T R-AO0_)(T-ER0_)
globetrotters	(G L-OW1_B)(T R-AO0_)(T-ER0_Z)
globex	(G L-OW1_)(B-AH0_K S)
globo	(G L-OW1_)(B-OW0_)
globs	(G L-AA1_B Z)
globular	(G L-AA1_)(B Y-AH0_)(L-ER0_)
globulin	(G L-AA1_)(B Y-AH0_)(L-IH0_N)
globulins	(G L-AA1_)(B Y-AH0_)(L-IH0_N Z)
globus	(G L-OW1_)(B-AH0_S)
glock	(G L-AA1_K)
glockenspiel	(G L-AA1_)(K-AH0_N)(S P-IY2_L)
glockner	(G L-AA1_K)(N-ER0_)
glod	(G L-AA1_D)
glodowski	(G L-AH0_)(D-AO1_F)(S K-IY0_)
gloe	(G L-OW1_)
gloeckner	(G L-OW1_K)(N-ER0_)
gloede	(G L-OW1_D)
glogowski	(G L-AH0_)(G-AO1_F)(S K-IY0_)
glomar	(G L-OW1_)(M-AA0_R)
glomb	(G L-AA1_M)
glomski	(G L-AA1_M)(S K-IY2_)
glonass	(G L-AA1_)(N-AH0_S)
gloom	(G L-UW1_M)
gloomier	(G L-UW1_)(M-IY0_)(-ER0_)
gloomily	(G L-UW1_)(M-AH0_)(L-IY0_)
gloomy	(G L-UW1_)(M-IY0_)
gloor	(G L-UH1_R)
glop	(G L-AA1_P)
gloppy	(G L-AA1_)(P-IY0_)
glor	(G L-AO1_R)
glore	(G L-AO1_R)
glori	(G L-AO1_)(R-IY0_)
gloria	(G L-AO1_)(R-IY0_)(-AH0_)
gloriana	(G L-AO2_)(R-IY0_)(-AE1_)(N-AH0_)
gloriane	(G L-AO2_)(R-IY0_)(-AE1_N)
glories	(G L-AO1_)(R-IY0_Z)
glorification	(G L-AO2_)(R-AH0_)(F-IH0_)(K-EY1_)(SH-AH0_N)
glorified	(G L-AO1_)(R-AH0_)(F-AY2_D)
glorifies	(G L-AO1_)(R-AH0_)(F-AY2_Z)
glorify	(G L-AO1_)(R-AH0_)(F-AY2_)
glorifying	(G L-AO1_)(R-AH0_)(F-AY2_)(-IH0_NG)
glorioso	(G L-AO0_)(R-IY0_)(-OW1_)(S-OW0_)
glorious	(G L-AO1_)(R-IY0_)(-AH0_S)
gloriously	(G L-AO1_)(R-IY0_)(-AH0_)(S L-IY0_)
glory	(G L-AO1_)(R-IY0_)
gloss	(G L-AO1_S)
glossary	(G L-AO1_)(S-ER0_)(-IY0_)
glossed	(G L-AO1_S T)
glosser	(G L-AO1_)(S-ER0_)
glosses	(G L-AO1_)(S-IH0_Z)
glossier	(G L-AO1_)(S-IY0_)(-ER0_)
glossman	(G L-AO1_)(S M-AH0_N)
glosson	(G L-AA1_)(S-AH0_N)
glossy	(G L-AO1_)(S-IY0_)
gloster	(G L-AA1_)(S T-ER0_)
glotfelty	(G L-AA1_T)(F-IH0_L)(T-IY0_)
glottal	(G L-AA1_)(T-AH0_L)
glottis	(G L-AA1_)(T-AH0_S)
glotzbach	(G L-AA1_TS)(B-AA0_K)
gloucester	(G L-AO1_)(S T-ER0_)
glove	(G L-AH1_V)
gloved	(G L-AH1_V D)
glover	(G L-AH1_)(V-ER0_)
gloves	(G L-AH1_V Z)
glow	(G L-OW1_)
glowacki	(G L-AW0_)(-AA1_T)(S K-IY0_)
glowed	(G L-OW1_D)
glower	(G L-AW1_)(-ER0_)
glowered	(G L-AW1_)(-ER0_D)
glowering	(G L-AW1_)(-ER0_)(-IH0_NG)
glowing	(G L-OW1_)(-IH0_NG)
glowingly	(G L-OW1_)(-IH0_N)(G L-IY0_)
glows	(G L-OW1_Z)
gloyd	(G L-OY1_D)
gluck	(G L-AH1_K)
gluckman	(G L-AH1_K)(M-AH0_N)
glucksman	(G L-AH1_K)(S M-AH0_N)
glucose	(G L-UW1_)(K-OW2_S)
glucoside	(G L-UW1_)(K-AH0_)(S-AY2_D)
glucosides	(G L-UW1_)(K-AH0_)(S-AY2_D Z)
glue	(G L-UW1_)
glueck	(G L-UW1_K)
glued	(G L-UW1_D)
glues	(G L-UW1_Z)
glum	(G L-AH1_M)
glumly	(G L-AH1_M)(L-IY0_)
glunt	(G L-AH1_N T)
gluntz	(G L-AH1_N T S)
glunz	(G L-AH1_N Z)
gluskin	(G L-AH1_)(S K-IH0_N)
glut	(G L-AH1_T)
glutamate	(G L-UW1_)(T-AH0_)(M-EY2_T)
glutamic	(G L-UW0_)(T-AE1_)(M-IH0_K)
glutaric	(G L-UW0_)(T-AE1_)(R-IH0_K)
gluten	(G L-UW1_)(T-AH0_N)
gluth	(G L-UW1_TH)
gluts	(G L-AH1_T S)
glutted	(G L-AH1_)(T-IH0_D)
gluttonous	(G L-AH1_)(T-AH0_)(N-AH0_S)
gluttons	(G L-AH1_)(T-AH0_N Z)
gluttony	(G L-AH1_)(T-AH0_)(N-IY0_)
glycel	(G L-IH1_)(S-AH0_L)
glycerol	(G L-IH1_)(S-ER0_)(-OW2_L)
glycine	(G L-AY1_)(S-IY2_N)
glycogen	(G L-AY1_)(K-AH0_)(JH-IH0_N)
glycol	(G L-AY1_)(K-AO2_L)
glycolic	(G L-AY0_)(K-AO1_)(L-AH0_K)
glycomed	(G L-AY1_)(K-OW2_M D)
glycoside	(G L-AY1_)(K-AH0_)(S-AY2_D)
glymph	(G L-IH1_M F)
glyn	(G L-IH1_N)
glyndebourne	(G L-IH1_ND)(B-AO2_R N)
glynis	(G L-IH1_)(N-IH0_S)
glynn	(G L-IH1_N)
glynnie	(G L-IH1_)(N-IY0_)
glynnis	(G L-IH1_)(N-IH0_S)
gmbh	(G-AH0_M)
gnagey	(N-AE1_)(JH-IY0_)
gnaizda	(N-EY1_Z)(D-AH0_)
gnann	(N-AE1_N)
gnarl	(N-AA1_R L)
gnarle	(N-AA1_R L)
gnarled	(N-AA1_R L D)
gnarly	(N-AA1_R)(L-IY0_)
gnash	(N-AE1_SH)
gnashing	(N-AE1_)(SH-IH0_NG)
gnat	(N-AE1_T)
gnatcatcher	(N-AE1_T)(K-AE2_)(CH-ER0_)
gnats	(N-AE1_T S)
gnau	(N-AW1_)
gnaw	(N-AO1_)
gnawed	(N-AO1_D)
gnawing	(N-AO1_)(-IH0_NG)
gnaws	(N-AO1_Z)
gnc	)
gneiss	(N-AY1_S)
gnomes	(N-OW1_M Z)
gnomic	(N-OW1_)(M-IH0_K)
gnomonic	(N-OW0_)(M-AA1_)(N-IH0_K)
gnosticism	(N-AA1_)(S T-IH0_)(S-IH2_)(Z-AH0_M)
gnu	(N-UW1_)
go	(G-OW1_)
goa	(G-OW1_)(-AH0_)
goad	(G-OW1_D)
goaded	(G-OW1_)(D-IH0_D)
goading	(G-OW1_)(D-IH0_NG)
goal	(G-OW1_L)
goalie	(G-OW1_)(L-IY0_)
goalkeeper	(G-OW1_L)(K-IY2_)(P-ER0_)
goalpost	(G-OW1_L)(P-OW2_S T)
goals	(G-OW1_L Z)
goan	(G-OW1_N)
goans	(G-OW1_N Z)
goar	(G-AO1_R)
goard	(G-AO1_R D)
goat	(G-OW1_T)
goatee	(G-OW1_)(T-IY1_)
goates	(G-OW1_)(-EY0_T S)
goatley	(G-OW1_T)(L-IY0_)
goats	(G-OW1_T S)
gob	(G-AA1_B)
gobain	(G-OW1_)(B-IH0_N)
gobble	(G-AA1_)(B-AH0_L)
gobbled	(G-AA1_)(B-AH0_L D)
gobbledygook	(G-AA2_)(B-AH0_L)(D-IY0_)(G-UH1_K)
gobbler	(G-AA1_)(B-AH0_)(L-ER0_)
gobblers	(G-AA1_)(B-AH0_)(L-ER0_Z)
gobbling	(G-AA1_)(B-AH0_)(L-IH0_NG)
gobel	(G-OW1_)(B-AH0_L)
goben	(G-AA1_)(B-AH0_N)
gober	(G-OW1_)(B-ER0_)
goberstein	(G-OW1_)(B-ER0_)(S T-IY2_N)
gobert	(G-AA1_)(B-ER0_T)
gobi	(G-OW1_)(B-IY0_)
gobie	(G-OW1_)(B-IY0_)
gobin	(G-OW1_)(B-IH0_N)
gobinot	(G-OW1_)(B-IH0_)(N-AA0_T)
gobioff	(G-OW1_)(B-IY0_)(-AO0_F)
goble	(G-OW1_)(B-AH0_L)
goblet	(G-AA1_)(B L-AH0_T)
goblin	(G-AA1_)(B L-IH0_N)
goblins	(G-AA1_)(B L-IH0_N Z)
goblirsch	(G-AA1_)(B L-ER0_SH)
gobs	(G-AA1_B Z)
gochenour	(G-AA1_)(SH-IH0_)(N-UH0_R)
gochnauer	(G-AA1_K)(N-AW0_)(-ER0_)
gochnour	(G-AH0_SH)(N-UH1_R)
gocke	(G-AA1_K)
gockel	(G-AA1_)(K-AH0_L)
gockley	(G-AA1_)(K L-IY0_)
god	(G-AA1_D)
goda	(G-OW1_)(D-AH0_)
godar	(G-AH0_)(D-AA1_R)
godard	(G-AH0_)(D-AA1_R D)
godart	(G-AA1_)(D-AA0_R T)
godbee	(G-AA1_D)(B-IY2_)
godbey	(G-AA1_D)(B-IY0_)
godbold	(G-AA1_D)(B-OW2_L D)
godbolt	(G-AA1_D)(B-OW2_L T)
godbout	(G-AA1_D)(B-AW2_T)
godby	(G-AA1_D)(B-IY0_)
goddam	(G-AA1_D)(D-AE2_M)
goddamn	(G-AA1_D)(D-AE2_M)
goddard	(G-AA1_)(D-ER0_D)
goddart	(G-AA1_)(D-AA0_R T)
goddeau	(G-AA1_)(D-OW2_)
godden	(G-AA1_)(D-AH0_N)
goddess	(G-AA1_)(D-AH0_S)
goddesses	(G-AA1_)(D-AH0_)(S-IH0_Z)
godding	(G-AA1_)(D-IH0_NG)
godek	(G-OW1_)(D-IH0_K)
godette	(G-AH0_)(D-EH1_T)
godfather	(G-AA1_D)(F-AA2_)(DH-ER0_)
godfrey	(G-AA1_D)(F R-IY0_)
godhead	(G-AA1_D)(HH-EH2_D)
godin	(G-OW1_)(D-IH0_N)
godina	(G-OW0_)(D-IY1_)(N-AH0_)
godine	(G-OW0_)(D-IY1_N)
godines	(G-AA1_)(D-AY0_N Z)
godinez	(G-OW0_)(D-IY1_)(N-EH0_Z)
goding	(G-OW1_)(D-IH0_NG)
godino	(G-OW0_)(D-IY1_)(N-OW0_)
godiva	(G-AH0_)(D-AY1_)(V-AH0_)
godkin	(G-AA1_D)(K-IH0_N)
godleski	(G-AH0_D)(L-EH1_)(S K-IY0_)
godless	(G-AA1_D)(L-AH0_S)
godlewski	(G-AH0_D)(L-EH1_F)(S K-IY0_)
godley	(G-AA1_D)(L-IY0_)
godlove	(G-AA1_D)(L-AH2_V)
godly	(G-AA1_D)(L-IY0_)
godman	(G-AA1_D)(M-AH0_N)
godmother	(G-AA1_D)(M-AH2_)(DH-ER0_)
godot	(G-OW1_)(D-AH0_T)
godown	(G-OW1_)(D-AW2_N)
godoy	(G-AA1_)(D-OY0_)
godrej	(G-AA1_)(D R-EY0_)
gods	(G-AA1_D Z)
godsell	(G-AA1_D)(S-AH0_L)
godsend	(G-AA1_D)(S-EH2_N D)
godsey	(G-AA1_D)(Z-IY0_)
godshalk	(G-AA1_D)(SH-AH0_K)
godshall	(G-AA1_D)(SH-AH0_L)
godspeed	(G-AA1_D)(S P-IY0_D)
godunov	(G-OW1_)(D-UW0_)(N-AA0_V)
godwin	(G-AA1_)(D W-IH0_N)
godzilla	(G-AA2_D)(Z-IH1_)(L-AH0_)
goe	(G-OW1_)
goeas	(G-OW1_)(-IY0_)(-AH0_Z)
goebbels	(G-OW1_)(B-AH0_L Z)
goebel	(G-OW1_)(B-AH0_L)
goecke	(G-OW1_K)
goedde	(G-OW1_D)
goede	(G-OW1_D)
goedecke	(G-OW1_)(D-IH0_K)
goeden	(G-OW1_)(D-AH0_N)
goedert	(G-OW1_)(D-ER0_T)
goedken	(G-OW1_D)(K-AH0_N)
goeglein	(G-OW1_)(G L-AY2_N)
goehner	(G-OW1_)(N-ER0_)
goehring	(G-AO1_)(R-IH0_NG)
goeke	(G-OW1_K)
goeken	(G-OW1_)(K-AH0_N)
goeller	(G-OW1_)(L-ER0_)
goellner	(G-OW1_L)(N-ER0_)
goelz	(G-OW1_L Z)
goelzer	(G-OW1_L)(Z-ER0_)
goeman	(G-OW1_)(M-AH0_N)
goemon	(G-OW1_)(-EY2_)(M-AH0_N)
goen	(G-OW1_N)
goens	(G-OW1_N Z)
goepfert	(G-OW1_P)(F-ER0_T)
goer	(G-OW1_)(-ER0_)
goergen	(G-AO1_R)(G-AH0_N)
goering	(G-OW1_)(-ER0_)(-IH0_NG)
goerke	(G-AO1_R K)
goerlitz	(G-AO1_R)(L-IH0_T S)
goerner	(G-AO1_R)(N-ER0_)
goers	(G-OW1_)(-ER0_Z)
goertz	(G-AO1_R T S)
goertzen	(G-AO1_RT)(Z-AH0_N)
goes	(G-OW1_Z)
goeser	(G-OW1_)(Z-ER0_)
goetabanken	(G-OW2_)(T-AH0_)(B-AE1_NG)(K-AH0_N)
goethals	(G-OW1_)(TH-AH0_L Z)
goethe	(G-OW1_TH)
goetsch	(G-OW1_CH)
goette	(G-EH1_T)
goettel	(G-OW1_)(T-AH0_L)
goetting	(G-OW1_)(T-IH0_NG)
goettl	(G-OW1_)(T-AH0_L)
goettsch	(G-OW1_T CH)
goetz	(G-EH1_T S)
goetze	(G-OW1_T Z)
goetzinger	(G-OW1_T)(Z-IH0_N)(G-ER0_)
goetzke	(G-OW1_T)(S K-IY0_)
goetzman	(G-OW1_T)(S M-AH0_N)
goewey	(G-AA1_)(-UW0_)(-IY0_)
goff	(G-AO1_F)
goffin	(G-AA1_)(F-IH0_N)
goffinet	(G-AA1_)(F-IH0_)(N-IH0_T)
goffman	(G-AA1_F)(M-AH0_N)
goffney	(G-AA1_F)(N-IY0_)
goffredo	(G-OW0_)(F R-EY1_)(D-OW0_)
goforth	(G-OW1_)(F-AO1_R TH)
goga	(G-OW1_)(G-AH0_)
gogan	(G-OW1_)(G-AH0_N)
gogel	(G-OW1_)(G-AH0_L)
goggans	(G-AA1_)(G-AH0_N Z)
goggin	(G-AA1_)(G-IH0_N)
goggins	(G-AA1_)(G-IH0_N Z)
goggle	(G-AA1_)(G-AH0_L)
goggles	(G-AA1_)(G-AH0_L Z)
gogh	(G-OW1_)
goghs	(G-OW1_Z)
goglia	(G-AA1_)(G L-IY0_)(-AH0_)
gogo	(G-OW1_)(G-OW2_)
goguen	(G-OW1_)(G W-AH0_N)
goh	(G-OW1_)
goheen	(G-AH0_)(HH-IY1_N)
gohl	(G-OW1_L)
gohlke	(G-AA1_K)
gohman	(G-OW1_)(M-AH0_N)
gohn	(G-AA1_N)
gohr	(G-AA1_R)
goin	(G-OY1_N)
goines	(G-OY1_N Z)
going	(G-OW1_)(-IH0_NG)
goings	(G-OW1_)(-IH0_NG Z)
goins	(G-OY1_N Z)
goiter	(G-OY1_)(T-ER0_)
goizueta	(G-OY2_Z)(W-EY1_)(T-AH0_)
gokey	(G-OW1_)(K-IY2_)
goksel	(G-AO1_K)(S-AH1_L)
gola	(G-OW1_)(L-AH0_)
golab	(G-OW1_)(L-AE2_B)
golan	(G-OW1_)(L-AH0_N)
goland	(G-OW1_)(L-AH0_N D)
golas	(G-OW1_)(L-AH0_Z)
golaszewski	(G-AH0_)(L-AH0_)(SH-EH1_F)(S K-IY0_)
golay	(G-AA1_)(L-EY0_)
golba	(G-OW1_L)(B-AH0_)
golberg	(G-OW1_L)(B-ER0_G)
golconda	(G-AA0_L)(K-AA1_N)(D-AH0_)
gold	(G-OW1_L D)
golda	(G-OW1_L)(D-AH0_)
goldade	(G-OW1_L)(D-EY1_D)
goldammer	(G-OW1_L)(D-AH0_)(M-ER0_)
goldbach	(G-OW1_LD)(B-AA2_K)
goldbaum	(G-OW1_LD)(B-AW2_M)
goldbeck	(G-OW1_LD)(B-EH2_K)
goldberg	(G-OW1_LD)(B-ER0_G)
goldberger	(G-OW1_LD)(B-ER0_)(G-ER0_)
goldblatt	(G-OW1_LD)(B L-AH0_T)
goldblum	(G-OW1_LD)(B L-AH0_M)
goldcor	(G-OW1_LD)(K-AO2_R)
goldcreek	(G-OW1_LD)(K R-IY2_K)
goldcrest	(G-OW1_LD)(K R-EH2_S T)
golde	(G-OW1_L D)
golden	(G-OW1_L)(D-AH0_N)
goldenberg	(G-OW1_L)(D-AH0_N)(B-ER0_G)
goldeneye	(G-OW1_L)(D-AH0_)(N-AY2_)
goldenrod	(G-OW1_L)(D-AH0_N)(R-AA2_D)
goldenson	(G-OW1_L)(D-AH0_N)(S-AH0_N)
goldenstein	(G-OW1_L)(D-AH0_N)(S T-AY2_N)
goldenthal	(G-OW1_L)(D-AH0_N)(TH-AA2_L)
golder	(G-OW1_L)(D-ER0_)
goldest	(G-OW1_L)(D-IH0_S T)
goldey	(G-OW1_L)(D-IY0_)
goldfarb	(G-OW1_LD)(F-AA2_R B)
goldfeder	(G-OW1_LD)(F-EH2_)(D-ER0_)
goldfield	(G-OW1_LD)(F-IY2_L D)
goldfields	(G-OW1_LD)(F-IY2_L D Z)
goldfinch	(G-OW1_LD)(F-IH2_N CH)
goldfinches	(G-OW1_LD)(F-IH2_N)(CH-IH0_Z)
goldfine	(G-OW1_LD)(F-AY2_N)
goldfinger	(G-OW1_LD)(F-IH2_NG)(G-ER0_)
goldfish	(G-OW1_LD)(F-IH2_SH)
goldfus	(G-OW1_LD)(F-AH2_S)
goldhammer	(G-OW1_LD)(HH-AE2_)(M-ER0_)
goldie	(G-OW1_L)(D-IY0_)
goldilocks	(G-OW1_L)(D-IY0_)(L-AO2_K S)
goldin	(G-OW1_L)(D-IH0_N)
golding	(G-OW1_L)(D-IH0_NG)
goldinger	(G-OW1_L)(D-IH0_N)(G-ER0_)
goldman	(G-OW1_LD)(M-AH0_N)
